time,latitude,longitude,thetao,depth
2026-03-12 02:00:00+02:00,57.091568,23.291779,1.8,0.5016462
2026-03-12 03:00:00+02:00,57.091568,23.291779,1.8,0.5016462
2026-03-12 04:00:00+02:00,57.091568,23.291779,1.8,0.5016462
2026-03-12 05:00:00+02:00,57.091568,23.291779,1.8,0.5016462
2026-03-12 06:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 07:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 08:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 09:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 10:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 11:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 12:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 13:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 14:00:00+02:00,57.091568,23.291779,1.8,0.5016462
2026-03-12 15:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 16:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 17:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 18:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 19:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 20:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 21:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 22:00:00+02:00,57.091568,23.291779,1.7,0.5016462
2026-03-12 23:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 00:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 01:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 02:00:00+02:00,57.091568,23.291779,1.5,0.5016462
2026-03-13 03:00:00+02:00,57.091568,23.291779,1.5,0.5016462
2026-03-13 04:00:00+02:00,57.091568,23.291779,1.5,0.5016462
2026-03-13 05:00:00+02:00,57.091568,23.291779,1.4,0.5016462
2026-03-13 06:00:00+02:00,57.091568,23.291779,1.4,0.5016462
2026-03-13 07:00:00+02:00,57.091568,23.291779,1.4,0.5016462
2026-03-13 08:00:00+02:00,57.091568,23.291779,1.4,0.5016462
2026-03-13 09:00:00+02:00,57.091568,23.291779,1.4,0.5016462
2026-03-13 10:00:00+02:00,57.091568,23.291779,1.4,0.5016462
2026-03-13 11:00:00+02:00,57.091568,23.291779,1.4,0.5016462
2026-03-13 12:00:00+02:00,57.091568,23.291779,1.4,0.5016462
2026-03-13 13:00:00+02:00,57.091568,23.291779,1.4,0.5016462
2026-03-13 14:00:00+02:00,57.091568,23.291779,1.5,0.5016462
2026-03-13 15:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 16:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 17:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 18:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 19:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 20:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 21:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 22:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-13 23:00:00+02:00,57.091568,23.291779,1.6,0.5016462
2026-03-14 00:00:00+02:00,57.091568,23.291779,1.6,0.5016462
